distance,radeg,raerr,decl,decerr,RHJD,Airmass,Vphot,BVphot,UBphot,VRphot,RIphot,VIphot,Usat,Bsat,Vsat,Rsat,Isat,V,eV,B-V,eB-V,U-B,eU-B,V-R,eV-R,R-I,eR-I,V-I,eV-I,Vzero,BVzero,UBzero,VRzero,RIzero,VIzero,fieldID,source
2.3,47.0430238,0,40.9554807,0,55881.8553,1.095,0,0,0,0,0,0,0,0,0,0,0,2.138,0.001,0.004,0.001,99.999,9.999,-0.017,0.001,-0.012,0.002,-0.022,0.002,-0.001,-0.01,0,-0.031,0.04,-0.005, 0000100045,28
2.5,47.0429027,0,40.9561608,0,55882.6499,1.237,0,0,0,0,0,0,0,0,0,0,0,2.076,0.001,0.045,0.001,99.999,9.999,0.098,0.001,-0.064,0.001,0.04,0.001,-0.021,-0.038,0,-0.018,0.015,-0.015, 0000200009,28
2.5,47.0429027,0,40.9561608,0,55882.6499,1.236,0,0,0,0,0,0,0,0,0,0,0,2.06,0.001,0.061,0.001,99.999,9.999,99.999,9.999,99.999,9.999,0.024,0.001,-0.021,-0.038,0,-0.018,0.015,-0.015, 0000200009,28
3.7,47.0434603,0,40.9561322,0,55882.7938,1.016,0,0,0,0,0,0,0,0,0,0,0,2.165,0.001,-0.001,0.001,99.999,9.999,-0.007,0.001,0.061,0.001,0.044,0.001,-0.024,-0.023,0,0.008,-0.007,0.004, 0000200018,28
1.7,47.0426477,0,40.956011,0,55882.8778,1.167,0,0,0,0,0,0,0,0,0,0,0,2.2,0.001,-0.074,0.001,99.999,9.999,0,0.001,0.041,0.001,0.031,0.001,0.065,-0.044,0,0.044,0.004,0.051, 0000200007,28
3.7,47.0431226,0,40.9564645,0,55883.6099,1.47,0,0,0,0,0,0,0,0,0,0,0,3.154,0.002,0.05,0.003,99.999,9.999,0.064,0.003,0.103,0.003,0.16,0.003,-0.043,-0.041,0,-0.007,0.017,0.013, 0000100044,28
3.8,47.0431945,0,40.9564358,0,55883.6425,1.275,0,0,0,0,0,0,0,0,0,0,0,3.187,0.002,0.094,0.003,99.999,9.999,0.115,0.003,0.103,0.003,0.176,0.003,-0.018,-0.036,0,-0.019,0.006,0.024, 0000100044,28
3.7,47.0432296,0,40.956378,0,55883.6541,1.223,0,0,0,0,0,0,0,0,0,0,0,3.161,0.002,0.07,0.003,99.999,9.999,0.089,0.003,0.112,0.003,0.187,0.003,-0.029,-0.014,0,-0.001,0,0.008, 0000100044,28
3.7,47.0432296,0,40.956378,0,55883.6541,1.224,0,0,0,0,0,0,0,0,0,0,0,3.155,0.002,0.075,0.003,99.999,9.999,0.083,0.003,0.112,0.003,0.182,0.003,-0.029,-0.014,0,-0.001,0,0.008, 0000100044,28
3.8,47.0432443,0,40.9563885,0,55883.665,1.182,0,0,0,0,0,0,0,0,0,0,0,3.091,0.002,0.125,0.003,99.999,9.999,0.087,0.003,0.113,0.003,0.197,0.003,-0.021,-0.045,0,-0.015,0.01,-0.006, 0000100044,28
3.5,47.0430937,0,40.9564045,0,55883.676,1.146,0,0,0,0,0,0,0,0,0,0,0,3.018,0.002,0.084,0.003,99.999,9.999,0.086,0.003,0.094,0.003,0.19,0.003,-0.017,-0.016,0,-0.009,0.012,-0.012, 0000100044,28
3.9,47.0433503,0,40.9563244,0,55883.7092,1.066,0,0,0,0,0,0,0,0,0,0,0,2.754,0.001,0.088,0.002,99.999,9.999,0.052,0.002,0.068,0.003,0.129,0.002,-0.027,-0.033,0,0.005,0.015,0.005, 0000100044,28
3.5,47.0431628,0,40.9563243,0,55883.72,1.049,0,0,0,0,0,0,0,0,0,0,0,2.665,0.001,0.056,0.002,99.999,9.999,0.066,0.002,0.034,0.003,0.089,0.002,-0.024,-0.018,0,-0.011,0.022,0.016, 0000100044,28
3.8,47.0432391,0,40.9564081,0,55883.7307,1.035,0,0,0,0,0,0,0,0,0,0,0,2.573,0.001,0.068,0.002,99.999,9.999,0.021,0.002,0.05,0.002,0.056,0.001,-0.027,-0.03,0,0,0.023,0.032, 0000100044,28
3.9,47.0433444,0,40.9563307,0,55883.7421,1.023,0,0,0,0,0,0,0,0,0,0,0,2.511,0.001,0.04,0.002,99.999,9.999,0.059,0.001,0.012,0.001,0.093,0.001,-0.02,-0.042,0,0.002,0.031,0.005, 0000100044,28
3.9,47.0433444,0,40.9563307,0,55883.7421,1.023,0,0,0,0,0,0,0,0,0,0,0,2.488,0.001,0.063,0.002,99.999,9.999,0.036,0.001,0.012,0.001,0.07,0.001,-0.02,-0.042,0,0.002,0.031,0.005, 0000100044,28
3.5,47.0431456,0,40.9563336,0,55883.7528,1.016,0,0,0,0,0,0,0,0,0,0,0,2.445,0.001,0.042,0.001,99.999,9.999,0.039,0.001,0.042,0.001,0.073,0.001,-0.037,-0.019,0,-0.015,0.008,-0.004, 0000100044,28
2.8,47.0430471,0,40.9561577,0,55883.7746,1.01,0,0,0,0,0,0,0,0,0,0,0,2.315,0.001,0.016,0.001,99.999,9.999,0.016,0.001,0.006,0.001,0.015,0.001,-0.022,-0.032,0,0.005,0.015,0.021, 0000100044,28
1.7,47.0426373,0,40.9560317,0,55883.7861,1.012,0,0,0,0,0,0,0,0,0,0,0,2.268,0.001,0.04,0.001,99.999,9.999,-0.01,0.001,0.02,0.001,0.011,0.001,-0.015,-0.04,0,0.02,0.018,0.031, 0000100044,28
2.1,47.0428024,0,40.956081,0,55883.7967,1.017,0,0,0,0,0,0,0,0,0,0,0,2.211,0.001,0.041,0.001,99.999,9.999,-0.002,0.001,0.013,0.001,-0.007,0.001,-0.016,-0.047,0,0.009,0.01,0.031, 0000100044,28
2.2,47.0428287,0,40.9560733,0,55883.8073,1.025,0,0,0,0,0,0,0,0,0,0,0,2.208,0.001,0.047,0.001,99.999,9.999,-0.006,0.001,0.011,0.001,0,0.001,-0.038,-0.051,0,0.008,-0.028,-0.022, 0000100044,28
1.8,47.0427648,0,40.955947,0,55883.8179,1.035,0,0,0,0,0,0,0,0,0,0,0,2.164,0.001,0.023,0.001,99.999,9.999,-0.005,0.001,0.022,0.001,-0.012,0.001,-0.024,-0.044,0,-0.009,0,0.014, 0000100044,28
2.1,47.0428263,0,40.9560236,0,55883.8291,1.05,0,0,0,0,0,0,0,0,0,0,0,2.137,0.001,0.013,0.001,99.999,9.999,-0.016,0.001,0.029,0.001,0.006,0.001,0.143,0.045,0,0.106,0.064,0.172, 0000100044,28
2.1,47.0428263,0,40.9560236,0,55883.8291,1.05,0,0,0,0,0,0,0,0,0,0,0,2.123,0.001,0.028,0.001,99.999,9.999,-0.03,0.001,0.029,0.001,-0.008,0.001,0.143,0.045,0,0.106,0.064,0.172, 0000100044,28
1.6,47.0427209,0,40.9559022,0,55883.8396,1.068,0,0,0,0,0,0,0,0,0,0,0,2.132,0.001,-0.011,0.001,99.999,9.999,-0.002,0.001,0.013,0.001,-0.003,0.001,-0.027,-0.049,0,-0.011,0.013,0.01, 0000100044,28
1.6,47.0426677,0,40.9559609,0,55883.8502,1.089,0,0,0,0,0,0,0,0,0,0,0,2.141,0.001,0.021,0.001,99.999,9.999,-0.003,0.001,0.004,0.001,-0.014,0.001,-0.025,-0.051,0,-0.013,0.014,0.009, 0000100044,28
1.5,47.0426944,0,40.9559042,0,55883.8608,1.114,0,0,0,0,0,0,0,0,0,0,0,2.102,0.001,0.001,0.001,99.999,9.999,-0.024,0.001,0.015,0.001,-0.018,0.001,0.101,-0.113,0,-0.058,-0.077,-0.133, 0000100044,28
1.7,47.0427652,0,40.955895,0,55883.8722,1.146,0,0,0,0,0,0,0,0,0,0,0,2.13,0.001,0.029,0.001,99.999,9.999,-0.013,0.001,-0.005,0.001,-0.022,0.001,0.138,-0.061,0,0.135,0.051,0.184, 0000100044,28
